Name,Tc (K),Source,Page
Dy6Fe23,524.0,4 V6,368
Dy6Fe23,545.0,2,7
Dy6Mn23,443.0,3,NA
Dy6Mn23,443.0,4 V6,538
Dy6Mn23,435.0,4 V6,538
Dy6Mn23,443.0,2,7
Dy6Mn23H23,4.2,4 V6,538
Dy85Th15,119.0,2,7
DyAl0.22,50.0,4 V12,462
DyAl2,62.0,3,NA
DyAl2,62.0,3,NA
DyAl2,55.9,4 V12,461
DyAl2,63.2,3,NA
DyAl2,63.3,4 V12,461
DyAl2,63.0,3,NA
DyAl2,48.0,2,7
DyAl2,70.0,2,7
DyAl2,62.0,2,7
DyAl2,67.0,4 V9,115
DyAl2,61.4,4 V5,99
DyAl2,53.0,2,7
DyAuNi4,23.0,4 V6,71
DyC,165.0,2,7
DyC0.33,216.0,3,NA
DyCd,80.0,4 V5,88
DyCd,80.0,4 V10,274
DyCo12B6,156.0,4 V4,33
DyCo12B6,165.0,4 V6,56
DyCo2,143.5,3,NA
DyCo2,146.0,1,405
DyCo2,140.0,4 V6,556
DyCo2,140.0,4 V12,331
DyCo2,150.0,2,7
